date,product name,p _ category,store_id,city / District ,eonomical crisis,health crisis,festivals in region ,weather,population density,lot size 
01/01/2020,Rice,Consumable,mum-str-2,Mumbai,Low,Low,"New Year ,Makar Sankranti",Winter,25357,90.0
01/02/2020,Rice,Consumable,mum-str-2,Mumbai,Low,Low,,Summer,25357,110.0
01/03/2020,Rice,Consumable,mum-str-2,Mumbai,Low,Medium,Gudhi Padwa,Summer,25357,120.0
01/04/2020,Rice,Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,140.0
01/05/2020,Rice,Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,135.0
01/06/2020,Rice,Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,120.0
01/07/2020,Rice,Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,130.0
01/08/2020,Rice,Consumable,mum-str-2,Mumbai,High,Medium,"Ganesha festival,Raksh Bandhan",Rainy,25357,120.0
01/09/2020,Rice,Consumable,mum-str-2,Mumbai,High,Medium,,Rainy,25357,120.0
01/10/2020,Rice,Consumable,mum-str-2,Mumbai,Medium,Low,Diwali,Winter,25357,100.0
01/11/2020,Rice,Consumable,mum-str-2,Mumbai,Medium,Low,,Winter,25357,120.0
01/12/2020,Rice,Consumable,mum-str-2,Mumbai,Medium,Low,Christmas,Winter,25357,110.0
01/01/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Low,Low,"New Year ,Makar Sankranti",Winter,25357,9.0
01/02/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Low,Low,,Summer,25357,18.0
01/03/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Low,Medium,Gudhi Padwa,Summer,25357,18.0
01/04/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,14.5
01/05/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,9.0
01/06/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,4.8
01/07/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,4.8
01/08/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,Medium,"Ganesha festival,Raksh Bandhan",Rainy,25357,9.0
01/09/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,High,Medium,,Rainy,25357,9.0
01/10/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Medium,Low,Diwali,Winter,25357,18.0
01/11/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Medium,Low,,Winter,25357,27.0
01/12/2020,Notebook,Non-Consumable,mum-str-2,Mumbai,Medium,Low,Christmas,Winter,25357,27.0
01/01/2020,Sugar,Consumable,mum-str-2,Mumbai,Low,Low,"New Year ,Makar Sankranti",Winter,25357,23.0
01/02/2020,Sugar,Consumable,mum-str-2,Mumbai,Low,Low,,Summer,25357,20.0
01/03/2020,Sugar,Consumable,mum-str-2,Mumbai,Low,Medium,Gudhi Padwa,Summer,25357,24.0
01/04/2020,Sugar,Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,20.0
01/05/2020,Sugar,Consumable,mum-str-2,Mumbai,High,High,,Summer,25357,24.0
01/06/2020,Sugar,Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,23.0
01/07/2020,Sugar,Consumable,mum-str-2,Mumbai,High,High,,Rainy,25357,23.0
01/08/2020,Sugar,Consumable,mum-str-2,Mumbai,High,Medium,"Ganesha festival,Raksh Bandhan",Rainy,25357,25.0
01/09/2020,Sugar,Consumable,mum-str-2,Mumbai,High,Medium,,Rainy,25357,23.0
