date,product name,p _ category,store_id,city / District ,eonomical crisis,health crisis,festivals in region ,weather,population density,lot size 
01/01/2020,Rice,Consumable,mum-str-1,Mumbai,Low,Low,"New Year ,Makar Sankranti",Winter,25357,100
01/02/2020,Rice,Consumable,mum-str-1,Mumbai,Low,Low,,Summer,25357,120
01/03/2020,Rice,Consumable,mum-str-1,Mumbai,Low,Medium,Gudhi Padwa,Summer,25357,130
01/04/2020,Rice,Consumable,mum-str-1,Mumbai,High,High,,Summer,25357,150
01/05/2020,Rice,Consumable,mum-str-1,Mumbai,High,High,,Summer,25357,145
01/06/2020,Rice,Consumable,mum-str-1,Mumbai,High,High,,Rainy,25357,130
01/07/2020,Rice,Consumable,mum-str-1,Mumbai,High,High,,Rainy,25357,140
01/08/2020,Rice,Consumable,mum-str-1,Mumbai,High,Medium,"Ganesha festival,Raksh Bandhan",Rainy,25357,130
01/09/2020,Rice,Consumable,mum-str-1,Mumbai,High,Medium,,Rainy,25357,120
01/10/2020,Rice,Consumable,mum-str-1,Mumbai,Medium,Low,Diwali,Winter,25357,110
01/11/2020,Rice,Consumable,mum-str-1,Mumbai,Medium,Low,,Winter,25357,130
01/12/2020,Rice,Consumable,mum-str-1,Mumbai,Medium,Low,Christmas,Winter,25357,120
01/01/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,Low,New year ,Winter,24760,120
01/02/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,Low,,Summer,24760,140
01/03/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,Low,,Summer,24760,130
01/04/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,Medium,Holi,Summer,24760,130
01/05/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,Medium,Eid,Summer,24760,140
01/06/2020,Rice,Consumable,kol-str-1,Kolkatta,Low,High,,Rainy,24760,150
01/07/2020,Rice,Consumable,kol-str-1,Kolkatta,High,High,,Rainy,24760,150
01/08/2020,Rice,Consumable,kol-str-1,Kolkatta,High,HIgh,Raksh Bandhan,Rainy,24760,120
01/09/2020,Rice,Consumable,kol-str-1,Kolkatta,High,Medium,,Rainy,24760,120
01/10/2020,Rice,Consumable,kol-str-1,Kolkatta,High,HIgh,"Durga puja , Kali Puja",Winter,24760,140
01/11/2020,Rice,Consumable,kol-str-1,Kolkatta,High,Low,,Winter,24760,120
01/12/2020,Rice,Consumable,kol-str-1,Kolkatta,Medium,Low,Christmas,Winter,24760,150
01/01/2020,Notebook,Non-Consumable,mum-str-1,Mumbai,Low,Low,"New Year ,Makar Sankranti",Winter,25357,10
01/02/2020,Notebook,Non-Consumable,mum-str-1,Mumbai,Low,Low,,Summer,25357,20
